Invoice ID,Claim ID,Invoice Date,Due Date,Amount,Status
1,1,2023-01-19,2023-10-10,1435.08,Unpaid
6,6,2023-10-28,2023-10-28,1257.01,Paid
7,7,2023-06-18,2023-03-21,3433.39,Overdue
14,14,2023-12-19,2023-02-03,3459.05,Unpaid
17,17,2023-04-16,2023-08-04,180.62,Paid
18,18,2023-10-24,2023-09-24,3364.85,Unpaid
19,19,2023-01-06,2023-09-18,2240.98,Paid
21,21,2023-11-27,2023-09-25,472.61,Unpaid
24,24,2023-11-28,2023-01-24,4701.94,Unpaid
33,33,2023-01-12,2023-11-08,2771.34,Unpaid
37,37,2023-09-15,2023-09-06,2980.33,Paid
41,41,2023-01-03,2023-06-16,835.0,Overdue
45,45,2023-12-21,2023-01-13,1007.48,Overdue
51,51,2023-11-19,2023-10-18,3543.08,Overdue
52,52,2023-10-06,2023-07-07,1313.17,Unpaid
55,55,2023-04-11,2023-12-19,2546.99,Unpaid
57,57,2023-01-23,2023-01-27,2850.79,Unpaid
58,58,2023-08-01,2023-12-08,4332.7,Paid
60,60,2023-07-19,2023-12-20,3267.72,Overdue
63,63,2023-01-12,2023-12-11,3807.5,Overdue
66,66,2023-07-13,2023-01-26,4382.66,Overdue
69,69,2023-10-02,2023-01-03,3103.46,Paid
72,72,2023-02-28,2023-02-25,2594.72,Unpaid
78,78,2023-05-15,2023-11-16,3927.75,Unpaid
79,79,2023-06-24,2023-05-17,1238.97,Paid
80,80,2023-03-14,2023-02-23,3947.04,Overdue
81,81,2023-04-15,2023-07-12,879.09,Paid
84,84,2023-01-27,2023-01-19,1544.95,Paid
88,88,2023-03-24,2023-04-04,3610.65,Unpaid
90,90,2023-08-18,2023-08-26,779.85,Paid
92,92,2023-03-11,2023-09-20,2187.15,Unpaid
106,106,2023-05-17,2023-09-16,335.33,Overdue
118,118,2023-07-18,2023-05-19,590.9,Unpaid
120,120,2023-08-09,2023-09-08,2842.13,Overdue
126,126,2023-07-22,2023-07-25,83.36,Paid
128,128,2023-10-01,2023-05-27,3107.18,Paid
129,129,2023-06-24,2023-06-25,2834.1,Unpaid
130,130,2023-09-27,2023-06-23,4774.37,Paid
139,139,2023-11-19,2023-04-26,1429.54,Overdue
144,144,2023-05-05,2023-03-05,1184.87,Overdue
146,146,2023-01-16,2023-11-05,1323.96,Overdue
151,151,2023-08-21,2023-02-18,741.68,Overdue
153,153,2023-09-27,2023-01-07,4717.68,Overdue
155,155,2023-01-04,2023-01-19,4652.18,Overdue
158,158,2023-03-16,2023-03-10,2593.98,Overdue
159,159,2023-11-13,2023-10-27,3630.44,Overdue
162,162,2023-10-04,2023-09-20,866.66,Unpaid
163,163,2023-04-09,2023-03-09,4536.83,Unpaid
164,164,2023-11-12,2023-09-27,2487.56,Overdue
166,166,2023-03-07,2023-04-16,4545.87,Paid
169,169,2023-03-04,2023-11-07,855.46,Overdue
171,171,2023-12-03,2023-10-17,868.12,Paid
181,181,2023-06-01,2023-06-03,2500.63,Paid
182,182,2023-02-13,2023-07-26,152.11,Unpaid
189,189,2023-02-27,2023-01-23,4532.37,Paid
192,192,2023-04-15,2023-12-25,3324.71,Unpaid
193,193,2023-01-15,2023-04-19,3677.42,Overdue
194,194,2023-10-05,2023-07-24,2412.68,Overdue
195,195,2023-11-08,2023-08-02,3606.8,Paid
197,197,2023-03-12,2023-03-03,2779.11,Overdue
198,198,2023-02-22,2023-07-18,2903.89,Paid
199,199,2023-03-08,2023-10-25,4917.29,Paid
202,202,2023-11-24,2023-04-21,973.87,Overdue
203,203,2023-01-28,2023-12-12,416.63,Paid
205,205,2023-06-16,2023-12-03,1174.59,Overdue
211,211,2023-07-26,2023-07-16,4704.12,Unpaid
212,212,2023-06-07,2023-09-08,483.44,Overdue
215,215,2023-08-17,2023-02-01,1002.32,Paid
225,225,2023-10-09,2023-12-17,4994.7,Unpaid
228,228,2023-07-19,2023-07-03,4733.31,Overdue
230,230,2023-02-07,2023-08-11,1600.37,Overdue
234,234,2023-09-05,2023-05-03,896.41,Paid
239,239,2023-09-10,2023-05-28,3952.6,Paid
240,240,2023-03-27,2023-05-10,1714.86,Overdue
243,243,2023-09-20,2023-05-18,4714.2,Unpaid
244,244,2023-05-19,2023-09-26,4045.91,Paid
245,245,2023-05-25,2023-01-14,3088.3,Paid
247,247,2023-07-19,2023-07-07,2112.43,Overdue
249,249,2023-03-22,2023-07-07,1431.5,Overdue
250,250,2023-08-20,2023-08-10,3643.39,Unpaid
