Invoice ID,Manufacturer ID,Drug ID,Order Date,Invoice Date,Due Date,Amount,Status
295,17978,295,2023-12-22,2023-05-01,2023-02-23,4854.17,Unpaid
303,23023,303,2023-05-25,2023-09-08,2023-10-07,6464.56,Paid
373,61153,373,2023-05-14,2023-03-06,2023-09-01,1505.73,Unpaid
383,68008,383,2023-07-05,2023-02-24,2023-09-10,7444.61,Unpaid
387,13213,387,2023-11-17,2023-02-28,2023-05-24,5227.91,Unpaid
436,96700,436,2023-10-13,2023-07-02,2023-04-16,3872.64,Paid
490,33398,490,2023-02-18,2023-11-20,2023-10-04,4843.32,Unpaid
539,7630,539,2023-03-18,2023-03-17,2023-09-05,7588.43,Unpaid
624,53347,624,2023-03-06,2023-03-15,2023-10-05,9941.92,Unpaid
632,9398,632,2023-05-18,2023-12-20,2023-05-24,1739.83,Paid
764,93144,764,2023-06-21,2023-04-07,2023-05-04,6905.48,Paid
787,99932,787,2023-08-20,2023-06-26,2023-09-08,8417.08,Unpaid
963,77743,963,2023-01-23,2023-11-25,2023-09-04,7528.74,Overdue
970,58917,970,2023-01-21,2023-09-09,2023-04-19,9739.6,Overdue
