Payment ID,Invoice ID,Payment Date,Amount Paid,Payment Method
9,73399,2023-10-05,1717.47,Cash
11,32024,2023-12-25,4363.81,Credit Card
14,46860,2023-07-07,1864.6,Bank Transfer
15,72031,2023-08-14,3039.61,Credit Card
30,41434,2023-06-02,3883.37,Bank Transfer
36,57454,2023-01-18,4291.11,Cash
39,96089,2023-04-17,4537.37,Bank Transfer
44,87688,2023-10-06,2212.62,Credit Card
47,77251,2023-05-28,423.76,Credit Card
49,28649,2023-03-05,4868.57,Credit Card
52,82888,2023-02-01,1834.99,Credit Card
53,2105,2023-08-02,3918.65,Cash
62,59504,2023-08-02,4159.07,Bank Transfer
72,62507,2023-02-23,2877.59,Credit Card
74,65163,2023-02-10,3174.11,Bank Transfer
75,97473,2023-02-08,998.74,Credit Card
77,28201,2023-11-07,2584.0,Cash
80,65282,2023-10-23,778.7,Credit Card
82,74228,2023-07-21,415.94,Bank Transfer
83,91167,2023-06-13,4769.04,Bank Transfer
84,25291,2023-12-16,848.42,Cash
85,98736,2023-07-06,1293.36,Bank Transfer
89,97037,2023-03-05,2313.24,Bank Transfer
100,33278,2023-04-09,371.6,Cash
104,30380,2023-11-21,3207.86,Credit Card
107,96884,2023-08-18,3301.74,Credit Card
109,73898,2023-01-01,2195.87,Bank Transfer
111,26074,2023-10-07,4422.6,Cash
116,38810,2023-03-03,4960.1,Cash
118,91979,2023-08-16,4301.25,Bank Transfer
121,81716,2023-09-12,3593.57,Credit Card
124,21214,2023-03-26,127.04,Cash
126,71540,2023-12-02,377.72,Bank Transfer
129,50429,2023-02-16,4731.06,Cash
135,97268,2023-06-07,301.33,Bank Transfer
138,94891,2023-11-06,1379.17,Cash
146,77865,2023-08-10,1757.66,Credit Card
147,94493,2023-01-23,4094.71,Credit Card
148,54461,2023-04-17,4414.68,Cash
149,64052,2023-02-02,3100.45,Credit Card
153,11521,2023-12-17,2594.04,Bank Transfer
156,31391,2023-03-21,978.88,Cash
157,86334,2023-06-25,689.99,Credit Card
158,32638,2023-07-18,2709.05,Cash
159,17089,2023-03-02,1675.76,Cash
160,89597,2023-10-22,2050.55,Credit Card
163,8507,2023-12-16,2736.34,Bank Transfer
166,76271,2023-07-10,491.63,Bank Transfer
181,19323,2023-06-21,4951.87,Credit Card
182,45410,2023-10-20,408.99,Credit Card
187,43533,2023-09-28,3496.74,Credit Card
191,7365,2023-06-05,638.58,Credit Card
193,82745,2023-09-10,1800.14,Bank Transfer
200,87029,2023-08-01,4331.43,Credit Card
208,28740,2023-01-09,3065.69,Credit Card
216,1053,2023-08-21,1370.75,Bank Transfer
221,22500,2023-01-14,80.08,Credit Card
222,77255,2023-01-15,4931.92,Cash
233,11459,2023-11-15,3609.07,Cash
241,86416,2023-12-01,3694.49,Cash
251,88,2023-04-19,4808.75,Bank Transfer
253,4288,2023-06-01,2384.39,Bank Transfer
256,31147,2023-09-12,4658.29,Bank Transfer
258,42705,2023-02-06,3274.08,Cash
259,19662,2023-11-23,3038.7,Bank Transfer
260,85394,2023-09-15,717.37,Credit Card
264,98317,2023-01-10,4167.43,Bank Transfer
280,68499,2023-08-14,2575.08,Credit Card
281,70999,2023-01-10,903.31,Credit Card
287,4132,2023-11-10,1770.29,Credit Card
293,77480,2023-02-15,1440.05,Cash
296,2844,2023-09-04,3621.81,Credit Card
297,8279,2023-12-21,2865.64,Credit Card
303,71530,2023-08-05,969.04,Bank Transfer
305,1766,2023-01-18,1722.44,Cash
321,55210,2023-06-19,3388.31,Bank Transfer
322,99456,2023-09-01,2081.02,Bank Transfer
327,98805,2023-03-06,4543.0,Credit Card
328,80231,2023-08-20,4750.55,Cash
329,58601,2023-02-04,369.43,Credit Card
332,74668,2023-03-04,2259.73,Bank Transfer
333,22026,2023-10-17,961.38,Credit Card
336,45090,2023-12-26,1118.37,Cash
340,16667,2023-04-14,560.32,Bank Transfer
349,10273,2023-11-23,3324.75,Credit Card
351,20574,2023-06-11,2462.88,Cash
355,79550,2023-10-16,2026.68,Cash
363,96261,2023-11-21,2291.06,Credit Card
365,27410,2023-06-17,4683.34,Credit Card
366,22598,2023-04-12,3115.12,Cash
367,23319,2023-07-03,239.28,Cash
369,1871,2023-10-02,4322.31,Cash
373,51993,2023-03-09,1006.64,Cash
383,81501,2023-11-09,1565.11,Credit Card
384,62276,2023-04-13,2771.43,Bank Transfer
390,55657,2023-11-04,3901.33,Cash
393,81454,2023-08-15,875.24,Credit Card
398,15318,2023-03-21,1132.67,Bank Transfer
403,67330,2023-07-23,131.33,Bank Transfer
407,57122,2023-07-09,331.84,Credit Card
411,47639,2023-08-19,131.5,Credit Card
412,56894,2023-09-10,813.38,Credit Card
413,52752,2023-03-18,3245.69,Cash
415,57236,2023-07-23,1930.52,Bank Transfer
426,30921,2023-02-18,1189.15,Cash
428,23671,2023-01-06,1641.5,Cash
431,64609,2023-10-13,1746.27,Cash
435,30942,2023-08-20,4544.1,Bank Transfer
436,50487,2023-12-01,2582.05,Credit Card
441,21148,2023-05-14,2804.72,Credit Card
445,3874,2023-07-24,4720.61,Bank Transfer
448,76085,2023-10-28,552.55,Credit Card
453,47211,2023-10-08,4917.51,Cash
457,31089,2023-03-12,2493.61,Cash
461,60305,2023-11-13,3471.28,Bank Transfer
464,91448,2023-10-13,1111.72,Credit Card
468,51611,2023-09-10,2605.41,Credit Card
469,33244,2023-05-19,4447.79,Bank Transfer
471,55314,2023-08-18,145.14,Credit Card
473,72411,2023-05-14,2815.23,Bank Transfer
479,10562,2023-12-21,552.0,Bank Transfer
481,57955,2023-03-15,2890.05,Cash
483,6568,2023-01-26,2204.6,Credit Card
490,58451,2023-04-15,2865.05,Credit Card
493,57470,2023-07-17,3404.49,Bank Transfer
498,57943,2023-10-27,1144.86,Bank Transfer
500,30944,2023-10-23,682.27,Cash
505,34381,2023-08-10,2026.06,Cash
507,5840,2023-03-13,1553.13,Credit Card
511,52553,2023-06-23,2502.41,Credit Card
513,98515,2023-02-14,2342.69,Cash
515,80819,2023-01-03,4128.69,Cash
524,43132,2023-08-25,3003.36,Credit Card
525,90441,2023-12-01,4563.28,Cash
532,17333,2023-01-02,399.7,Bank Transfer
542,89971,2023-12-16,681.91,Cash
544,68712,2023-03-01,3508.62,Cash
545,14021,2023-05-05,1797.35,Bank Transfer
551,18502,2023-10-25,3789.58,Credit Card
554,61726,2023-11-05,1159.54,Cash
569,46138,2023-09-04,493.77,Bank Transfer
570,64704,2023-10-11,1030.1,Credit Card
572,61246,2023-04-26,449.6,Cash
573,55949,2023-07-26,1443.96,Cash
575,82155,2023-11-02,77.55,Bank Transfer
576,18991,2023-03-01,4104.7,Bank Transfer
579,59426,2023-11-22,3031.41,Bank Transfer
580,93961,2023-01-06,4678.56,Bank Transfer
582,43193,2023-08-18,4124.02,Credit Card
583,58345,2023-11-23,2182.96,Bank Transfer
588,71504,2023-07-14,416.14,Credit Card
591,20324,2023-10-15,2710.39,Bank Transfer
595,39378,2023-06-27,2934.73,Bank Transfer
604,83227,2023-02-20,4142.5,Cash
611,26011,2023-05-19,983.16,Bank Transfer
616,25969,2023-08-20,978.05,Credit Card
617,73713,2023-07-22,4376.68,Credit Card
624,29615,2023-04-08,2211.34,Cash
632,62757,2023-05-22,608.56,Cash
638,10283,2023-07-01,2185.32,Credit Card
641,86410,2023-06-15,3137.34,Cash
646,2587,2023-09-23,668.1,Bank Transfer
650,55390,2023-12-20,3820.1,Credit Card
659,59266,2023-05-05,3361.93,Cash
662,59049,2023-03-26,1455.35,Cash
666,86428,2023-02-05,1658.1,Credit Card
669,95599,2023-10-27,2329.31,Credit Card
672,9681,2023-11-26,96.16,Bank Transfer
675,48786,2023-01-21,4781.91,Cash
676,34080,2023-11-25,477.73,Cash
680,68136,2023-12-19,1713.82,Bank Transfer
683,87233,2023-01-14,2894.25,Credit Card
690,29932,2023-09-01,2091.06,Cash
693,50518,2023-10-04,3073.62,Cash
695,65593,2023-07-01,2402.51,Bank Transfer
696,28971,2023-01-11,1350.6,Credit Card
699,51102,2023-10-21,1012.6,Credit Card
700,35574,2023-11-15,4997.21,Bank Transfer
702,79542,2023-01-01,3757.77,Credit Card
703,79614,2023-01-16,1254.09,Cash
705,85843,2023-11-17,2060.07,Cash
706,37218,2023-03-10,4170.88,Credit Card
711,11758,2023-04-07,4019.07,Credit Card
712,15776,2023-10-17,2919.22,Credit Card
717,77036,2023-03-03,1195.18,Cash
723,94825,2023-10-03,3441.52,Bank Transfer
727,35428,2023-01-06,2381.72,Bank Transfer
730,97029,2023-03-21,928.74,Cash
731,77402,2023-12-01,4590.81,Credit Card
733,46379,2023-09-01,3548.83,Credit Card
734,61221,2023-03-18,1751.44,Cash
735,83681,2023-01-10,4084.48,Cash
739,58020,2023-03-21,337.22,Bank Transfer
747,93409,2023-11-15,3539.2,Credit Card
749,44534,2023-11-06,4510.25,Cash
