Drug ID,Drug Name,NDC Number,GCN,Generic Indicator,Manufacturer ID,Batch Number,Expiry Date,Quantity Available,Unit Price
1,Town Process,49876515038,294395,No,80110,8AYS25SZ6Y,2025-02-23,510,292.85
2,Consider Both,70866164446,379464,Yes,4982,TGR284JBE3,2025-02-20,799,465.15
3,Agent Body,53164021862,26453,No,6723,WC5A9TTAGU,2025-07-08,899,357.77
4,Turn Meet,27550204223,797094,Yes,95191,RJGIZ6O8OM,2025-12-11,294,219.99
5,Production Ahead,8256195296,648410,Yes,27434,O3YJB7SV69,2025-09-26,511,479.83
6,Smile Pm,78346942465,484615,Yes,11112,NBP6WRPYME,2025-10-06,716,207.05
7,Inside Paper,53888664600,270672,No,75135,JEV3CQNZL6,2025-05-16,243,261.16
8,Under Along,56931363002,101888,Yes,48157,98NMPUOXLI,2025-10-25,996,652.93
9,Thing Your,41135379269,182536,Yes,19701,0XNEAJQ552,2025-08-10,674,440.36
10,I Share,99149951032,368117,No,94211,3NFD3G8TWZ,2025-06-12,695,174.65
11,Run Major,38537936068,987721,No,38482,CSWJ8Y51K0,2025-01-15,883,698.48
12,Huge Lawyer,12993662905,712060,No,39118,PUEOEUA648,2025-01-06,372,393.51
13,Mission West,81042635705,349044,No,25221,CB5B5T960A,2025-08-26,573,993.45
14,Economy Believe,60200792113,925847,No,95191,GEPW024WY9,2025-12-03,645,356.76
15,Give Against,37471079251,393701,Yes,48415,9YXJTWQYHW,2025-01-07,701,152.97
16,Discover Successful,34152183229,906679,No,88863,A8LOBLLC4D,2025-04-19,624,885.61
17,Color Now,1442632254,219338,Yes,12129,N6TRGG1BX2,2025-07-26,360,515.84
18,Suggest Daughter,69298923115,440901,No,93226,9HB66DE943,2025-02-21,597,570.28
19,Room Young,59434793136,491012,No,22871,E7CGD8CFTF,2025-10-03,776,662.47
20,Process Interview,31116798240,994023,Yes,25342,W8LCUPX95B,2025-05-01,597,504.31
21,Different Draw,22530525710,543337,Yes,74898,E81PAA1TFD,2025-08-12,763,198.03
22,Prevent Night,83778997170,669858,No,25342,D3XB4E83SX,2025-10-21,638,992.56
23,Describe Serious,50163850702,659696,Yes,59673,S3MPWUYWKX,2025-02-22,954,65.44
24,Will Political,5598444920,730936,No,56703,TN7EJEA9S3,2025-09-15,404,977.11
25,Ball Society,80195964418,327290,No,19701,I7QECZA7T0,2025-01-17,997,957.08
26,Consumer Think,74034678729,488002,No,25221,WCF4YZWCN4,2025-12-05,718,526.67
27,Exist Quality,21309667777,67079,Yes,94211,LG99GO0D84,2025-10-12,392,169.33
28,Office Near,84494485267,593626,Yes,17629,3BBM01IMSW,2025-06-26,960,35.0
29,Whose Exist,86354578896,987319,Yes,26642,ZH20O2VHSX,2025-02-14,696,997.96
30,Hotel Within,11825792748,733545,No,68421,I3KJIQZW7D,2025-02-10,248,918.64
31,Successful Close,27512080001,200512,Yes,53562,XZ6TE7DVH9,2025-12-18,716,752.65
32,Force Girl,97724579914,646370,Yes,9311,FCRQWPAG3K,2025-10-23,405,577.22
33,Outside Manager,87380167280,100861,No,34138,NSNK4CN8LP,2025-10-07,859,987.75
34,Imagine Defense,17546269124,887233,Yes,60648,94SOC12VVX,2025-05-10,924,276.53
35,First Five,59586636035,109714,Yes,55113,DYQU3WQUFN,2025-11-15,477,190.69
36,Far Base,83701761723,191016,No,60527,VDNG35L2HO,2025-11-26,179,511.59
37,Seat Line,97987802403,94346,No,62356,LW5KG6KCGW,2025-05-09,502,360.34
