Invoice ID,Claim ID,Invoice Date,Due Date,Amount,Status
3,3,2023-11-19,2023-01-22,3190.48,Unpaid
10,10,2023-05-17,2023-11-12,3021.02,Paid
11,11,2023-07-17,2023-05-24,2517.49,Overdue
12,12,2023-09-01,2023-10-09,4633.75,Paid
18,18,2023-05-04,2023-04-18,1141.51,Paid
28,28,2023-02-10,2023-10-13,2790.8,Paid
36,36,2023-08-17,2023-07-27,1027.95,Paid
41,41,2023-02-03,2023-07-19,1696.71,Unpaid
42,42,2023-03-02,2023-08-10,4904.96,Paid
57,57,2023-04-10,2023-01-28,2589.6,Overdue
60,60,2023-12-16,2023-07-01,3045.56,Paid
65,65,2023-03-20,2023-10-04,2949.85,Overdue
72,72,2023-05-06,2023-07-15,4643.79,Unpaid
75,75,2023-10-18,2023-06-24,1805.57,Overdue
76,76,2023-04-25,2023-01-27,4673.28,Paid
85,85,2023-12-20,2023-03-10,3301.35,Unpaid
91,91,2023-09-19,2023-09-08,3357.46,Paid
97,97,2023-04-20,2023-02-13,4515.28,Overdue
103,103,2023-02-12,2023-08-24,1796.39,Paid
105,105,2023-05-05,2023-04-16,302.0,Overdue
110,110,2023-02-17,2023-01-04,537.84,Paid
111,111,2023-09-14,2023-04-16,402.13,Paid
112,112,2023-12-12,2023-04-11,4084.09,Overdue
116,116,2023-10-22,2023-09-18,221.69,Overdue
118,118,2023-05-17,2023-04-20,1449.41,Overdue
119,119,2023-07-09,2023-08-11,3167.27,Paid
126,126,2023-08-22,2023-02-24,2039.42,Paid
131,131,2023-11-06,2023-07-27,3485.37,Paid
133,133,2023-07-12,2023-09-04,1778.14,Unpaid
148,148,2023-09-23,2023-12-01,1290.56,Unpaid
152,152,2023-08-20,2023-04-02,960.21,Paid
167,167,2023-02-20,2023-04-26,4708.85,Overdue
173,173,2023-06-24,2023-07-25,3121.46,Overdue
175,175,2023-10-10,2023-10-04,4275.27,Paid
188,188,2023-03-14,2023-06-24,1565.83,Overdue
196,196,2023-07-06,2023-01-08,2337.65,Overdue
197,197,2023-06-22,2023-05-22,1658.02,Unpaid
207,207,2023-07-27,2023-09-20,1971.96,Unpaid
217,217,2023-02-27,2023-08-22,4330.68,Unpaid
231,231,2023-05-18,2023-11-26,3381.01,Paid
237,237,2023-06-22,2023-10-24,4243.24,Unpaid
239,239,2023-09-01,2023-03-19,1895.41,Unpaid
253,253,2023-02-27,2023-09-20,2521.79,Unpaid
254,254,2023-02-19,2023-10-02,2900.66,Overdue
259,259,2023-05-18,2023-05-19,2806.38,Overdue
264,264,2023-01-26,2023-10-17,4125.72,Paid
272,272,2023-05-19,2023-07-18,1018.38,Overdue
273,273,2023-04-04,2023-07-27,4508.0,Overdue
275,275,2023-08-22,2023-05-21,2738.67,Unpaid
277,277,2023-12-24,2023-05-11,3366.11,Paid
278,278,2023-04-18,2023-12-19,4769.39,Unpaid
280,280,2023-04-14,2023-01-04,846.39,Overdue
281,281,2023-01-13,2023-07-20,321.77,Overdue
287,287,2023-07-19,2023-01-10,3654.35,Paid
296,296,2023-11-14,2023-05-20,4654.99,Overdue
297,297,2023-01-06,2023-09-07,292.19,Overdue
302,302,2023-12-18,2023-01-10,4345.43,Overdue
315,315,2023-08-09,2023-11-06,4411.42,Unpaid
321,321,2023-10-08,2023-09-24,4040.46,Unpaid
332,332,2023-10-21,2023-11-21,1782.13,Paid
337,337,2023-04-18,2023-06-11,4974.17,Unpaid
346,346,2023-04-15,2023-01-20,2027.36,Overdue
