Payment ID,Invoice ID,Payment Date,Amount Paid,Payment Method
4,97639,2023-07-18,1941.34,Cash
5,72932,2023-12-20,3324.94,Cash
10,25427,2023-10-19,3553.97,Cash
15,4708,2023-09-06,1305.26,Credit Card
18,14046,2023-09-17,3411.17,Cash
21,6089,2023-02-23,1222.58,Cash
22,38450,2023-05-20,4972.91,Cash
25,35978,2023-10-22,3351.5,Bank Transfer
40,39754,2023-09-05,1866.0,Cash
44,59158,2023-11-05,3518.18,Credit Card
52,49384,2023-03-25,4196.8,Bank Transfer
60,84544,2023-12-24,306.09,Credit Card
68,63864,2023-07-28,1834.41,Cash
77,35225,2023-12-07,4976.91,Credit Card
94,18892,2023-06-12,3591.74,Credit Card
95,49446,2023-11-14,3024.55,Credit Card
98,39750,2023-10-14,1922.42,Bank Transfer
104,3896,2023-07-25,584.57,Cash
118,86384,2023-11-16,1412.81,Credit Card
121,99119,2023-02-12,1331.85,Cash
141,41150,2023-10-19,289.21,Bank Transfer
142,71581,2023-11-01,3984.74,Cash
148,12851,2023-12-28,4637.69,Credit Card
149,36512,2023-03-14,129.3,Bank Transfer
152,65878,2023-05-16,2797.41,Bank Transfer
153,31086,2023-12-05,410.34,Cash
162,99228,2023-01-21,974.21,Bank Transfer
167,22062,2023-10-11,1122.34,Credit Card
172,20254,2023-06-24,2416.5,Bank Transfer
173,96340,2023-07-06,1769.69,Cash
175,33641,2023-12-09,2220.29,Bank Transfer
179,31075,2023-12-18,2857.79,Cash
181,84799,2023-11-24,3551.96,Cash
182,43683,2023-01-26,3192.76,Credit Card
184,69909,2023-02-07,1734.31,Credit Card
190,23418,2023-04-14,2423.38,Credit Card
196,49061,2023-10-08,3105.99,Cash
203,35446,2023-10-20,4367.28,Cash
205,75687,2023-06-13,2598.03,Credit Card
211,90457,2023-01-09,2010.94,Bank Transfer
213,63864,2023-08-11,1218.15,Cash
214,7058,2023-05-18,412.47,Cash
223,31709,2023-11-07,3303.36,Cash
237,46724,2023-01-17,3297.41,Cash
238,73455,2023-06-26,363.69,Cash
240,24784,2023-03-10,4469.72,Cash
249,13082,2023-05-24,894.56,Credit Card
252,20160,2023-05-07,1891.07,Cash
258,26744,2023-05-15,3201.39,Credit Card
262,66244,2023-09-14,4136.23,Bank Transfer
270,90525,2023-10-22,4753.31,Bank Transfer
272,36324,2023-07-17,2967.36,Cash
275,38903,2023-02-17,3416.57,Credit Card
278,69172,2023-04-18,2577.17,Cash
289,35830,2023-05-03,3782.91,Bank Transfer
290,93934,2023-06-11,670.54,Credit Card
297,38974,2023-11-14,1845.21,Bank Transfer
309,74066,2023-12-09,4206.36,Bank Transfer
315,47827,2023-02-28,1161.45,Credit Card
322,8916,2023-09-03,4663.45,Cash
325,99902,2023-06-10,3889.78,Credit Card
328,60775,2023-04-26,1370.49,Cash
330,25528,2023-08-21,1728.55,Bank Transfer
333,68297,2023-08-16,1851.96,Credit Card
346,90596,2023-08-15,2140.51,Bank Transfer
349,32646,2023-08-25,4496.82,Cash
352,75913,2023-08-13,2387.66,Credit Card
363,46320,2023-11-26,4046.3,Cash
364,95510,2023-02-18,1966.34,Credit Card
367,90703,2023-04-08,878.32,Bank Transfer
370,68917,2023-09-26,2080.93,Bank Transfer
378,86042,2023-09-27,3169.37,Bank Transfer
381,68198,2023-02-16,3926.45,Bank Transfer
384,96396,2023-06-11,4488.68,Cash
385,11782,2023-05-20,3143.43,Bank Transfer
390,56029,2023-07-10,2379.61,Credit Card
393,4079,2023-12-05,2685.41,Credit Card
406,51419,2023-01-10,3917.69,Credit Card
413,64250,2023-09-20,3577.72,Bank Transfer
415,94707,2023-08-25,4127.53,Bank Transfer
417,4316,2023-02-27,2902.92,Credit Card
421,51185,2023-04-21,4275.96,Bank Transfer
428,85517,2023-01-25,1799.3,Cash
430,18050,2023-06-11,4492.78,Cash
433,45153,2023-09-26,1676.96,Credit Card
442,78097,2023-06-14,140.35,Bank Transfer
465,30896,2023-08-20,405.67,Credit Card
466,72330,2023-08-27,819.9,Credit Card
468,95129,2023-10-25,4420.92,Bank Transfer
469,97406,2023-10-02,4779.07,Bank Transfer
470,89045,2023-07-24,1313.85,Bank Transfer
477,24315,2023-04-01,2337.88,Cash
482,73820,2023-02-03,1121.85,Bank Transfer
483,23058,2023-09-03,456.85,Cash
488,68055,2023-12-10,1389.21,Credit Card
490,99629,2023-01-15,4463.13,Credit Card
492,72886,2023-02-09,4389.58,Credit Card
498,43750,2023-09-01,3371.39,Cash
499,34790,2023-10-21,1414.8,Credit Card
502,36715,2023-06-24,251.0,Credit Card
520,59546,2023-10-01,4727.53,Cash
524,88636,2023-06-28,4591.25,Cash
526,75826,2023-07-22,2104.14,Bank Transfer
533,41425,2023-04-05,2191.78,Credit Card
534,65081,2023-02-14,3686.23,Cash
539,99564,2023-02-26,1306.88,Cash
540,23065,2023-01-10,2014.98,Credit Card
541,66306,2023-09-16,2542.63,Cash
545,11489,2023-05-19,1452.88,Bank Transfer
547,18370,2023-06-18,106.1,Credit Card
549,79096,2023-07-08,4812.65,Credit Card
552,59884,2023-08-19,2317.26,Bank Transfer
553,29276,2023-07-24,4469.43,Bank Transfer
555,63969,2023-04-17,859.23,Bank Transfer
563,22692,2023-04-23,3828.78,Credit Card
570,3167,2023-11-17,4723.18,Bank Transfer
578,15901,2023-05-07,1643.97,Cash
584,62862,2023-08-17,4122.72,Bank Transfer
598,73584,2023-07-26,4724.95,Credit Card
601,58415,2023-08-21,1558.73,Bank Transfer
604,8877,2023-12-21,1616.11,Cash
606,72945,2023-02-13,201.46,Cash
614,72188,2023-08-24,4638.83,Credit Card
636,22494,2023-01-24,3763.86,Bank Transfer
646,99670,2023-09-03,3994.11,Credit Card
649,18526,2023-11-28,4689.97,Bank Transfer
651,84061,2023-02-10,1269.21,Bank Transfer
663,6571,2023-07-06,2241.27,Cash
665,43340,2023-09-22,1461.63,Credit Card
668,69673,2023-02-05,2040.23,Credit Card
670,1626,2023-04-15,2934.44,Bank Transfer
672,95882,2023-04-13,373.38,Cash
679,32155,2023-07-06,479.89,Bank Transfer
684,45948,2023-04-01,3874.99,Credit Card
692,31170,2023-02-23,2384.13,Credit Card
700,72532,2023-08-18,4522.26,Cash
702,84649,2023-04-12,113.82,Cash
705,91080,2023-11-21,3490.29,Credit Card
709,99494,2023-09-26,4451.89,Credit Card
710,3463,2023-05-23,2171.61,Credit Card
714,84743,2023-12-05,1619.64,Cash
722,21245,2023-10-10,4859.72,Bank Transfer
727,275,2023-10-23,3106.59,Cash
747,1101,2023-02-20,2090.44,Cash
749,58444,2023-12-25,4541.27,Bank Transfer
753,42735,2023-05-10,4058.93,Credit Card
755,74066,2023-07-03,357.59,Bank Transfer
764,98718,2023-06-26,3650.84,Cash
769,13863,2023-09-26,4163.32,Bank Transfer
771,81397,2023-12-06,2525.94,Cash
774,10325,2023-09-07,1876.3,Cash
