Payment ID,Invoice ID,Payment Date,Amount Paid,Payment Method
1,31410,2023-08-04,518.74,Bank Transfer
2,31323,2023-10-02,379.75,Bank Transfer
3,46400,2023-11-25,295.29,Bank Transfer
4,97639,2023-07-18,1941.34,Cash
5,72932,2023-12-20,3324.94,Cash
6,39292,2023-09-13,3486.57,Credit Card
7,92061,2023-08-07,119.16,Cash
8,80679,2023-04-05,398.92,Credit Card
9,1833,2023-12-28,2570.17,Cash
10,25427,2023-10-19,3553.97,Cash
11,38914,2023-04-22,2194.52,Bank Transfer
12,31171,2023-04-24,4378.21,Cash
13,68653,2023-07-03,393.74,Bank Transfer
14,11077,2023-07-05,2368.11,Cash
15,4708,2023-09-06,1305.26,Credit Card
16,79109,2023-12-11,3536.15,Cash
17,57029,2023-12-18,2812.07,Credit Card
18,14046,2023-09-17,3411.17,Cash
19,98135,2023-09-15,1297.6,Credit Card
20,78018,2023-07-14,4114.11,Bank Transfer
21,6089,2023-02-23,1222.58,Cash
22,38450,2023-05-20,4972.91,Cash
23,73782,2023-12-22,190.38,Bank Transfer
24,19182,2023-02-02,603.7,Bank Transfer
25,35978,2023-10-22,3351.5,Bank Transfer
26,39666,2023-10-12,281.76,Bank Transfer
27,5854,2023-03-02,826.56,Credit Card
28,17053,2023-11-26,1922.17,Cash
29,65801,2023-04-12,269.97,Cash
30,69086,2023-09-15,3994.25,Cash
31,71653,2023-12-26,1180.88,Cash
32,83323,2023-09-17,778.0,Bank Transfer
33,51607,2023-10-17,2702.38,Bank Transfer
34,24185,2023-09-26,1403.64,Bank Transfer
35,98098,2023-06-17,1021.3,Credit Card
36,81238,2023-10-23,3806.28,Cash
37,18055,2023-10-20,3692.72,Cash
38,60299,2023-07-15,3783.01,Cash
39,57996,2023-04-08,2551.16,Credit Card
40,39754,2023-09-05,1866.0,Cash
41,76488,2023-03-03,4823.37,Bank Transfer
42,72244,2023-01-12,1850.83,Cash
43,7004,2023-10-04,333.51,Credit Card
44,59158,2023-11-05,3518.18,Credit Card
45,60991,2023-08-26,2290.4,Bank Transfer
46,44695,2023-04-22,3077.45,Cash
47,53613,2023-08-19,3248.62,Bank Transfer
48,71685,2023-08-04,1542.49,Cash
49,95120,2023-01-28,4547.66,Cash
50,18861,2023-03-04,3424.32,Bank Transfer
51,89511,2023-10-20,2183.78,Cash
52,49384,2023-03-25,4196.8,Bank Transfer
53,51658,2023-05-21,2115.05,Cash
54,60979,2023-01-15,3165.45,Bank Transfer
55,4620,2023-06-07,658.48,Credit Card
56,16685,2023-08-11,1018.79,Credit Card
57,24011,2023-03-25,526.65,Bank Transfer
58,29645,2023-06-19,2024.44,Cash
59,42406,2023-12-26,2973.17,Bank Transfer
60,84544,2023-12-24,306.09,Credit Card
61,40219,2023-04-11,1102.44,Cash
62,20563,2023-04-16,3655.49,Bank Transfer
